Solution,AUC,ACE,Equity_Gap,DenseNet121,ResNet50,ResNet101,EfficientNet-B4,VGG16,Inception-v3,MobileNetV2
0,0.9810065669606762,0.01926906507349248,1.0107734649267286e-09,0.004283295268849074,0.018402633636166732,0.002192282458720081,0.24638380424276976,0.10511053118810082,0.11112830155100016,0.5124991516543932
1,0.9810065669606762,0.01926906507349248,1.0107734649267286e-09,0.004283295268849075,0.018402633636166735,0.0021922824587200813,0.24638380424276982,0.10511053118810085,0.11112830155100019,0.5124991516543933
2,0.9874856736977069,0.001985243457456657,0.000975936339737804,0.0013387745007349767,0.7342262769526658,0.06019803204784464,0.08044501000447231,0.05235069525658705,0.011793514239160663,0.05964769699853449
3,0.9890420602307779,0.004851641575670749,0.0013524048559280244,0.10874478075331384,0.2861628297466707,0.41885156940042106,0.03726911520197888,0.11354030464221757,0.005578957478574599,0.02985244277682347
4,0.9889629685483098,0.0027483651427281115,0.0014433566315366075,0.10069870498137422,0.31815561077822874,0.4745469534222628,0.03866153878692309,0.045616693713596064,0.003743873071030707,0.018576625246584363
5,0.988449103983612,0.012608932724230417,0.000980863245349517,0.07878022677078504,0.26006950435765586,0.1989622813066717,0.050669088727930425,0.25077199320913546,0.07726262560067094,0.08348428002715061
6,0.9832695864639224,0.0037819220155645766,1.1528200505317443e-08,0.0027252966052321564,0.028581879258433297,0.0002752752016740215,0.005756106243791209,0.7974747323916916,0.03338196937489443,0.13180474092428315
7,0.9884090120562433,0.012117718708583868,0.0009589218819112677,0.07370768169189779,0.2592075394592559,0.19030880239643722,0.049028128793712614,0.27208517674066496,0.07451864287119918,0.08114402804683238
8,0.9878866800466312,0.011191139445470665,0.0007488858240672913,0.10015981247026441,0.36441559162279225,0.05107159009305662,0.011877737997371995,0.30166423966169265,0.0432307156959286,0.1275803124588935
9,0.9835601391175698,0.0036580715100408426,1.8689807822491744e-06,0.002770129957469819,0.04138717134678873,0.0002718190064351329,0.005359978021238643,0.7874621037332988,0.03315400380061795,0.12959479413415076
10,0.98618705350337,0.003850106674301039,0.000640463206607933,0.003870099761458659,0.05771719088637757,0.18516849041112174,0.003091246939415801,0.6713676598135808,0.05475237930896091,0.02403293287908455
11,0.9840488028645027,0.003128878932485937,2.2843657958793173e-05,0.0018618352217598124,0.061875327290910005,0.007433073803235529,0.0009927358676108528,0.7407478261358006,0.03291550757654,0.1541736941041433
12,0.987965866267929,0.010636570946990201,0.000764132998580247,0.09657463160999105,0.37221158142788346,0.05702856307437326,0.014415084360875852,0.30052485315594607,0.04209156355524961,0.11715372281568069
13,0.9880767516075991,0.007736253684993645,0.0007806331757163054,0.03222325316832331,0.2475561533354529,0.2262686027859221,0.0008231814447548266,0.3918185221298875,0.03898604805678494,0.06232423907887447
14,0.9871989312076814,0.0060021640091666014,0.0004950469993227902,0.0850744880048057,0.3753802060636056,0.014752645103619023,0.00041743940625307147,0.4651901530067352,0.03565092072567203,0.02353414768930909
15,0.9875758811562524,0.0022612179240594442,0.000939361464522781,0.002841099023061864,0.7245228169152382,0.058422764008380236,0.0780726491425453,0.06573277494497519,0.012135847937000068,0.058272048028799185
16,0.9867980355687022,0.0056925367130797695,0.00037935696347113357,0.07749552954868509,0.33452230993106574,0.003192981183488698,0.00039428839559777304,0.5285811291220409,0.03166601010959625,0.024147751709525593
17,0.9850471192224852,0.004444899790465263,3.8767710374698616e-05,0.0017702278895006637,0.14889982030702237,0.0014817285348658756,0.0025876423765415096,0.682035071929423,0.05488895509803878,0.10833655386460783
18,0.987310918671076,0.005992701996203036,0.0005350286196758036,0.10279213321528015,0.36220491785518527,0.01780820818860645,0.00029448252564022475,0.46170939507601716,0.025490595879358143,0.029700267259912483
19,0.9874051365662904,0.0054290039131450925,0.0005843410931732906,0.001415428216121697,0.3592273982611215,0.12090322016415754,0.000153425423948655,0.46051419532587184,0.02991454063453052,0.027871791974248137
20,0.9879560553764879,0.010472159692760568,0.0007578557484133608,0.08459549758949295,0.36945526443682264,0.06338548174874532,0.013921827145835269,0.3068050496755242,0.04180997775283865,0.12002690165074105
21,0.988611841383488,0.0028100238218242016,0.0012481164786970478,0.0108827202575996,0.47589826883667635,0.3617275463996185,0.046038056684854015,0.0523356436811605,0.01986720194145858,0.0332505621986323
22,0.9887344221715331,0.009357086822222527,0.001048944337415647,0.08804510154778118,0.3322913016859944,0.23205074954679303,0.028587425860031233,0.20857064194566963,0.03394719076178885,0.07650758865194171
23,0.9864787754530686,0.004489794812281542,0.0006069508487113184,0.008220182058149126,0.06449931362191094,0.17604255693266033,0.003146480452753234,0.6397064534113702,0.02421205857203822,0.08417295495111775
24,0.986583825507871,0.005292648421034243,0.00033618321625872305,0.07192811982489695,0.3110406588125114,0.00120721126649594,0.00038705692309184026,0.5632853373168054,0.02973867941225258,0.022412936443945985
